Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
James Daniel,HU,30,37.2,7.5,19.4,0.388,2.7,8,0.332,9.3,11,0.846,4.1,2.1,0.7,1.5,2.2,2.8,2,0.2,27.1
Buddy Hield,OU,37,35.4,8.1,16.2,0.501,4,8.7,0.457,4.8,5.4,0.88,3.1,2.1,1.2,4.5,5.7,2,1.1,0.5,25
Kay Felder,OU,35,36.7,7.7,17.5,0.44,2.2,6.1,0.355,6.8,8.1,0.848,3.4,3,0.7,3.5,4.3,9.3,2,0.2,24.4
Josh Adams,UW,31,36.3,7.1,16.1,0.442,3.2,8.4,0.378,6.8,8.3,0.821,3.7,2.8,0.6,5,5.6,4.3,1.4,0.6,24.2
Stefan Moody,UM,31,34.6,6.7,16.4,0.409,3.3,8.8,0.379,6.8,8.3,0.828,3.8,2.4,1,2.2,3.2,4.3,1.5,0.1,23.6
Cat Barber,NCST,33,38.7,7.5,17.3,0.434,1.3,3.6,0.361,7.2,8.3,0.865,2.6,2.2,0.6,3.9,4.6,4.5,0.6,0.1,23.5
Jack Gibbs,DAV,31,35.5,7.8,18.2,0.431,2.6,7.9,0.332,5.1,6.1,0.84,3.2,1.9,0.9,3.2,4.1,4.9,1.8,0.1,23.4
Cane Broome,SHU,30,37.5,7.9,17.7,0.445,2.2,7.1,0.311,5.2,6.8,0.768,3.8,2.4,0.6,4.4,4.9,2.9,1.7,0,23.1
Obi Emegano,ORU,29,35.4,7.2,16.7,0.434,1.8,4.6,0.381,6.8,8,0.853,1.8,2.4,1,4.2,5.1,1.8,1.1,0.3,23.1
A.J. English III,IC,28,35.9,6.8,15.7,0.433,3.4,9.1,0.37,5.6,6.8,0.836,3.6,2.1,0.5,4.5,5,6.2,1.6,0.5,22.6
Zeek Woodley,NSU,28,33,7.7,14.5,0.531,2,5,0.407,4.8,5.4,0.887,2,2.4,1.7,3.5,5.2,1.6,1,0.6,22.2
Kevin Punter,UT,26,34.1,6.8,14.8,0.46,2.2,6,0.369,6.3,7.8,0.817,2.5,2.8,0.2,3.3,3.5,3.5,1.4,0.2,22.2
Trey Freeman,ODU,38,35.1,8.5,19.8,0.429,1.3,3.8,0.349,3.7,4.5,0.829,1.3,1.8,0.6,3.7,4.2,3,1,0.1,22.1
Elijah Brown,UNM,32,33.7,6.1,14.2,0.428,2.8,7.1,0.394,6.8,8,0.851,3.4,2,0.7,4.8,5.5,3.2,1.1,0.1,21.7
