player,team,gp,mpg,fgm,fga,fg_pct,threepm,threepa,three_pct,ftm,fta,ft_pct,tov,pf,orb,drb,rpg,apg,spg,bpg,ppg,pick,conference,college,CollegeBudgetFile,latitude,longitude,ExpensesMensBasketball,RevenueMensBasketball
Chuma Okeke,AU,38,29.1,4.4,8.9,0.496,1.4,3.7,0.387,1.7,2.4,0.722,1.7,1.9,2.8,4.1,6.8,1.9,1.8,1.2,12,16,SEC,Auburn,Auburn University,32.5909562,-85.4929785,47846261,95157216
Jerome Robinson,BC,35,36,7.1,14.7,0.485,2.3,5.7,0.409,4.2,5,0.83,2.7,2.5,0.5,3.1,3.6,3.3,0.9,0.1,20.7,13,ACC,Boston College,Boston College,42.3355488,-71.1684945,24855252,32347820
Olivier Hanlan,BC,32,37.6,7,15.5,0.454,2,5.8,0.353,3.4,4.5,0.759,2.7,2.1,0.8,3.5,4.2,4.2,1.3,0,19.5,42,ACC,Boston College,Boston College,42.3355488,-71.1684945,24855252,32347820
Dylan Windler,BEL,33,33.2,7.4,13.6,0.54,3,7.1,0.429,3.5,4.2,0.847,2.1,2.1,1.9,8.9,10.8,2.5,1.4,0.6,21.3,26,Ohio Valley,Belmont,Belmont University,36.1336191,-86.7939242,0,0
Richaun Holmes,BGSU,31,28.8,5.3,9.5,0.563,0.6,1.4,0.419,3.5,4.9,0.712,1.9,2.5,2.8,5.2,8,0.8,0.7,2.7,14.7,37,Mid-American,Bowling Green,Bowling Green State University-Main Campus,41.3754425,-83.640953,7750248,7750248
Chandler Hutchison,BSU,31,31,6.6,13.9,0.475,1.5,4.1,0.359,5.3,7.2,0.728,3.4,2.4,0.9,6.8,7.7,3.5,1.5,0.3,20,22,Mountain West,Boise State,Boise State University,43.609316,-116.2108121,14600947,20281713
Jarrell Brantley,C of C,33,33.9,7.2,13.9,0.517,1.2,3.5,0.328,3.9,4.9,0.785,2.6,2.7,1.7,6.7,8.4,2.4,1.4,0.9,19.4,50,Colonial,College of Charleston,College of Charleston,32.7834631,-79.9372833,0,0
Ivan Rabb,Cal,31,32.6,4.9,10.1,0.484,0.3,0.6,0.4,4,6,0.663,2.2,3.1,3,7.4,10.5,1.5,0.7,1,14,35,PAC-12,California,University of California-Berkeley,37.8718399,-122.2603363,27790118,33532252
Jabari Bird,Cal,27,32,5.2,11.8,0.439,2.4,6.6,0.363,1.6,2,0.764,1.9,1.9,1,3.7,4.7,1,0.7,0.2,14.3,56,PAC-12,California,University of California-Berkeley,37.8718399,-122.2603363,27790118,33532252
Jaylen Brown,Cal,34,27.6,4.8,11.1,0.431,0.9,3,0.294,4.2,6.4,0.654,3.1,3.2,1.1,4.3,5.4,2,0.8,0.6,14.6,3,PAC-12,California,University of California-Berkeley,37.8718399,-122.2603363,27790118,33532252
Tyrone Wallace,Cal,28,32.2,5.4,12.2,0.442,0.9,3,0.298,3.6,5.5,0.649,2.6,2.2,1,4.3,5.3,4.4,1,0.4,15.2,60,PAC-12,California,University of California-Berkeley,37.8718399,-122.2603363,27790118,33532252
Jaron Blossomgame,CLEM,33,34.3,6.7,13.4,0.499,0.7,2.8,0.255,3.6,5.1,0.714,1.7,1.6,1.8,4.5,6.3,1.5,0.8,0.9,17.7,59,ACC,Clemson,Clemson University,34.679339,-82.835136,55649888,61378516
Derrick White,CU,34,32.8,6,11.9,0.507,1.7,4.2,0.396,4.4,5.4,0.813,2.4,2.1,1,3.1,4.1,4.4,1.2,1.4,18.1,29,PAC-12,Colorado,University of Colorado Boulder,40.0034965,-105.2677112,29642881,43461696
George King,CU,32,28.5,4.4,10,0.445,1.9,4.9,0.395,2.1,2.7,0.782,2,2.4,1.8,6.1,7.8,1.1,0.5,0.7,12.9,59,PAC-12,Colorado,University of Colorado Boulder,40.0034965,-105.2677112,29642881,43461696
Justin Patton,CU,35,25.3,5.7,8.5,0.676,0.2,0.4,0.533,1.3,2.5,0.517,1.7,2.7,1.7,4.5,6.2,1.2,0.9,1.4,12.9,16,Big East,Creighton,Creighton University,41.2655878,-95.9486026,0,0
Khyri Thomas,CU,33,31.7,5.6,10.4,0.538,1.9,4.6,0.411,2,2.6,0.788,1.8,1.9,1.1,3.3,4.4,2.8,1.7,0.2,15.1,38,Big East,Creighton,Creighton University,41.2655878,-95.9486026,0,0
Kostas Antetokounmpo,DAY,29,15.1,2,3.5,0.574,0.1,0.5,0.133,1.1,2.2,0.516,1.3,2.3,0.8,2,2.9,0.4,0.2,1.1,5.2,60,Atlantic 10,Dayton,University of Dayton,39.7394599,-84.1799547,1412930,159593
Brandon Ingram,DUKE,36,34.6,5.9,13.4,0.442,2.2,5.4,0.41,3.2,4.7,0.682,2,2.1,1.9,4.9,6.8,2,1.1,1.4,17.3,2,ACC,Duke,Duke University,36.0014258,-78.9382286,28806459,40328603
