Position,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted
QB,UCLA,76,226,4.92,31,,111,7.09,4.28,Y
OLB,Temple,73,237,4.52,36.5,24,133,7.01,4.37,Y
QB,Oklahoma,70,207,,,,,,,Y
OT,Florida,77,307,5.12,31,26,104,7.87,4.64,Y
DT,Mississippi,75,294,4.87,35,28,116,,,Y
LB,Clemson,76,238,4.39,39,,132,,,Y
CB,Washington,71,190,4.55,36.5,14,120,,,Y
S,Washington,70,195,4.45,32.5,15,115,6.76,4.08,Y
WR,Texas A&M,70,201,4.47,35.5,20,115,7.09,4.45,Y
OLB,Missouri,74,260,4.9,,,,,,Y
WR,Massachusetts,69,188,4.31,36.5,15,121,6.95,4.15,Y
DL,Boston Col.,76,281,5,32,24,112,7.34,4.36,Y
OL,Houston,77,319,5.27,28.5,24,109,,,Y
RB,New Mexico,73,224,4.5,41.5,25,127,6.82,4.27,Y
CB,Texas A&M,71,197,4.37,30.5,18,118,6.85,4.19,Y
C,Michigan,76,307,5.23,23.5,23,104,7.77,4.78,Y
WR,Iowa State,77,227,4.48,36,18,128,,,Y
DL,Utah,77,330,5.15,,21,,,,Y
OG,Pittsburgh,77,300,5.27,30,21,114,8.39,5.09,Y
C,Missouri,74,302,5.33,28.5,24,96,7.52,4.69,Y
DL,LSU,74,308,5.07,,22,,8.03,,Y
RB,Fordham,69,205,4.55,34,19,122,6.79,4.07,Y
S,Alabama,73,195,,,,,,,Y
OT,Vanderbilt,79,311,5.47,28,23,111,7.71,4.72,Y
WR,Ala-Birmingham,70,156,4.28,36,,127,7.02,4.15,Y
OT,Harvard,77,306,5.32,26,22,103,7.88,4.59,Y
RB,North Carolina,69,196,4.37,33.5,17,121,,,Y
WR,Fresno State,73,201,4.6,30,14,117,7.28,4.23,Y
OL,Georgia,75,305,,,,,,,Y
LB,California,74,237,4.76,32,15,117,7.02,4.21,Y
CB,SE Louisiana,73,182,4.65,35.5,6,118,7.44,4.43,Y
RB,Arizona State,69,207,4.57,39,12,122,6.97,4.25,Y
TE,UCLA,76,240,4.56,29,,113,7.2,4.4,Y
TE,Louisville,75,244,4.87,,28,,7.62,4.7,Y
OL,Boston Col.,76,308,4.91,30.5,25,117,7.61,4.54,Y
CB,Clemson,73,195,4.42,34.5,15,129,,,Y
S,Florida,73,211,4.62,38,17,132,7.09,4.38,Y
OLB,UCLA,74,250,4.59,33,24,122,7.48,4.62,Y
WR,Alabama,73,189,4.43,31,15,110,6.88,4.41,Y
OT,Washington,79,317,5.05,33.5,23,111,7.66,4.58,Y
OLB,Clemson,75,246,4.53,41,35,130,6.91,4.15,Y
CB,LSU,73,203,4.48,36,,124,6.77,4.27,Y
DL,Auburn,75,303,5.04,,21,,,,Y
OLB,LSU,73,222,4.59,33,,120,,,Y
CB,Colorado,73,190,4.5,,,,,,Y
