Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
Tyler Harvey,EWU,32,36.9,7.2,15.3,0.469,4.0,9.3,0.431,4.7,5.5,0.852,2.0,1.9,0.6,3.0,3.6,2.6,1.1,0.1,23.1
Zeek Woodley,NSU,32,31.5,8.2,14.6,0.56,1.2,3.1,0.39799999999999996,4.6,5.7,0.813,1.2,2.3,1.7,3.3,5.0,1.1,1.0,0.7,22.2
Tyler Haws,BYU,35,32.1,7.4,15.4,0.48,1.5,4.2,0.36700000000000005,5.9,6.7,0.873,2.0,1.4,1.3,3.1,4.5,2.4,0.9,0.3,22.2
Denzel Livingston,UIW,29,36.9,6.6,14.4,0.455,1.6,4.6,0.34299999999999997,6.8,8.5,0.805,2.8,3.0,1.5,4.4,5.9,2.9,2.6,1.3,21.5
Damion Lee,DREX,27,38.1,6.3,14.4,0.43799999999999994,2.4,6.3,0.385,6.4,7.2,0.887,1.9,2.2,0.9,5.2,6.1,2.3,1.5,0.3,21.4
Saah Nimley,CSU,31,35.7,5.9,15.4,0.384,3.5,9.9,0.358,6.0,7.4,0.82,2.7,2.2,0.5,3.5,4.1,4.1,0.9,0.0,21.4
Amere May,DESU,32,34.2,7.1,17.0,0.418,2.8,7.2,0.387,4.0,4.9,0.821,2.9,1.8,1.0,3.2,4.2,2.7,1.0,0.2,21.0
Corey Hawkins,UCD,28,33.4,6.7,13.4,0.503,2.9,5.9,0.488,4.6,5.6,0.8220000000000001,3.0,1.9,0.7,4.2,4.9,3.4,1.4,0.2,20.9
D.J. Newbill,PSU,34,37.1,7.1,15.9,0.45,1.8,4.9,0.37,4.6,6.1,0.758,2.6,2.1,1.1,3.6,4.7,3.1,1.3,0.2,20.7
Joe Young,UO,36,36.7,7.4,16.4,0.44799999999999995,2.5,7.1,0.35700000000000004,3.4,3.7,0.925,2.4,1.4,0.5,3.9,4.4,3.8,1.1,0.0,20.7
Chavaughn Lewis,MAR,29,35.7,7.0,16.9,0.413,1.4,4.9,0.289,5.1,7.7,0.665,3.6,2.4,0.9,4.4,5.3,2.7,2.3,0.8,20.6
Ty Greene,USCU,35,34.0,6.6,14.9,0.444,2.9,7.2,0.40700000000000003,4.1,5.4,0.7509999999999999,1.3,1.6,0.9,2.2,3.1,2.1,2.1,0.2,20.3
Jalen Riley,ETSU,29,27.5,5.7,14.7,0.387,2.8,7.4,0.374,6.1,7.4,0.8270000000000001,2.8,3.3,0.4,1.9,2.3,2.7,1.7,0.1,20.2
Cameron Payne,MSU,35,32.2,7.0,15.3,0.456,2.4,6.4,0.377,3.8,4.8,0.787,2.5,2.1,0.6,3.1,3.7,6.0,1.9,0.5,20.2
A.J. English III,IC,34,37.4,6.2,14.4,0.43200000000000005,3.1,8.1,0.387,4.6,5.8,0.787,3.8,2.7,0.8,4.4,5.1,5.1,1.4,0.5,20.1
D.J. Balentine,UE,36,36.6,6.8,15.6,0.435,2.1,5.2,0.392,4.4,5.9,0.75,2.2,1.0,0.5,2.7,3.2,3.2,0.8,0.2,20.1
Jalan West,NSU,32,34.5,6.0,13.2,0.456,2.7,6.4,0.42200000000000004,5.3,6.1,0.862,2.8,2.0,0.6,3.8,4.4,7.7,2.1,0.3,20.0
Marcus Thornton,W&M,33,36.7,6.5,14.3,0.456,3.1,7.7,0.402,3.8,4.6,0.83,2.3,1.1,0.3,2.5,2.8,2.9,0.6,0.1,20.0
David Laury,IC,34,35.3,7.2,15.1,0.475,0.8,2.1,0.38,4.7,6.9,0.682,3.0,2.7,2.5,7.2,9.7,2.8,0.8,1.3,19.8
LaDontae Henton,PROV,34,37.0,6.8,15.2,0.446,1.9,5.6,0.33899999999999997,4.3,5.6,0.759,2.0,2.2,1.8,4.8,6.5,0.9,1.4,0.5,19.7
R.J. Hunter,GSU,35,37.0,5.8,14.7,0.395,2.3,7.5,0.305,5.8,6.6,0.878,2.2,2.4,0.8,3.9,4.7,3.6,2.1,1.0,19.7
Chasson Randle,SU,37,36.4,5.9,14.6,0.40299999999999997,2.4,6.7,0.363,5.4,6.2,0.877,2.0,2.2,0.3,3.0,3.3,3.0,1.4,0.1,19.6
Olivier Hanlan,BC,32,37.6,7.0,15.5,0.45399999999999996,2.0,5.8,0.353,3.4,4.5,0.759,2.7,2.1,0.8,3.5,4.2,4.2,1.3,0.0,19.5
Derrick Marks,BSU,32,31.2,7.2,14.6,0.494,2.1,4.9,0.436,2.8,3.7,0.7709999999999999,2.1,2.2,0.5,3.2,3.7,3.0,1.8,0.4,19.4
James Sinclair,WCU,31,38.1,6.9,17.2,0.402,1.6,5.2,0.315,3.9,5.1,0.767,2.5,2.1,1.9,4.2,6.0,2.9,2.2,0.5,19.4
D'Angelo Russell,OSU,35,33.9,6.6,14.7,0.449,2.7,6.6,0.41100000000000003,3.4,4.5,0.7559999999999999,2.9,2.1,1.0,4.7,5.7,5.0,1.6,0.3,19.3
John Brown,HP,32,31.1,7.6,13.8,0.55,0.0,0.2,0.0,4.2,5.5,0.7559999999999999,1.7,2.1,3.2,2.8,6.0,1.2,1.2,1.0,19.3
Andrew Rowsey,UNCA,31,32.6,5.7,14.5,0.39399999999999996,3.3,8.6,0.382,4.5,4.9,0.9209999999999999,2.3,2.2,0.6,2.2,2.8,2.9,1.4,0.1,19.2
Mikh McKinney,CSUS,32,37.0,6.8,13.5,0.507,2.0,4.7,0.43,3.4,4.3,0.8029999999999999,2.1,1.8,0.5,2.3,2.8,4.9,2.4,0.1,19.2
