School,Latitude,Longitude,State,REV_MEN,EXP_MEN,Sports
Alabama State University,32.3651836,-86.2957213,AL,992694,992694,Basketball
Alabama State University,32.3651836,-86.2957213,AL,3622267,3622267,Football
Albany State University,31.5734365,-84.1425655,GA,88125,255918,Basketball
Albany State University,31.5734365,-84.1425655,GA,229371,1160234,Football
Appalachian State University,36.2109506,-81.6777048,NC,1952593,1952593,Basketball
Appalachian State University,36.2109506,-81.6777048,NC,9365952,9365952,Football
Arizona State University-Tempe,33.4219437,-111.9400636,AZ,10609465,8349598,Basketball
Arizona State University-Tempe,33.4219437,-111.9400636,AZ,39007842,26245544,Football
Arkansas State University-Main Campus,35.8414567,-90.6806034,AR,1578156,1578156,Basketball
Arkansas State University-Main Campus,35.8414567,-90.6806034,AR,7789945,7789945,Football
Ashland University,40.8614368,-82.3228059,OH,601260,601260,Basketball
Ashland University,40.8614368,-82.3228059,OH,2018271,2018271,Football
Assumption College,42.2922426,-71.8291624,MA,808273,771218,Basketball
Assumption College,42.2922426,-71.8291624,MA,1114929,1058325,Football
Auburn University,32.5909562,-85.4929785,AL,15593947,10536653,Basketball
Auburn University,32.5909562,-85.4929785,AL,95157216,47846261,Football
Augustana University,43.525073,-96.73698,SD,809276,809276,Basketball
Augustana University,43.525073,-96.73698,SD,2146448,2146448,Football
Ball State University,40.1999048,-85.4115988,IN,1975432,1975432,Basketball
Ball State University,40.1999048,-85.4115988,IN,7135305,7135305,Football
Baylor University,31.5447753,-97.1182662,TX,9860432,9860432,Basketball
Baylor University,31.5447753,-97.1182662,TX,45580767,30995620,Football
Belmont University,36.1336191,-86.7939242,TN,5129856,5129856,Basketball
Beloit College,42.5030333,-89.0309048,WI,140982,140982,Basketball
Beloit College,42.5030333,-89.0309048,WI,303857,303857,Football
Bemidji State University,47.4826372,-94.8746802,MN,433499,433499,Basketball
Bemidji State University,47.4826372,-94.8746802,MN,966491,966491,Football
Bloomsburg University of Pennsylvania,41.0079402,-76.4472892,PA,305959,305959,Basketball
Bloomsburg University of Pennsylvania,41.0079402,-76.4472892,PA,1010812,984303,Football
Boise State University,43.609316,-116.2108121,ID,5146160,3678140,Basketball
Boise State University,43.609316,-116.2108121,ID,20281713,14600947,Football
Boston College,42.3355488,-71.1684945,MA,7225974,6872835,Basketball
Boston College,42.3355488,-71.1684945,MA,32347820,24855252,Football
Bowling Green State University-Main Campus,41.3754425,-83.640953,OH,2544177,2544177,Basketball
Bowling Green State University-Main Campus,41.3754425,-83.640953,OH,7750248,7750248,Football
Brigham Young University-Provo,40.2524308,-111.6502622,UT,7447430,7447430,Basketball
Brigham Young University-Provo,40.2524308,-111.6502622,UT,23171603,21180680,Football
Bucknell University,40.9547722,-76.8850759,PA,2624075,2624075,Basketball
Bucknell University,40.9547722,-76.8850759,PA,6192470,6192470,Football
Butler University,39.8381669,-86.1705391,IN,8228482,5760815,Basketball
Butler University,39.8381669,-86.1705391,IN,1048440,1068454,Football
California Polytechnic State University-San Luis Obispo,35.3011339,-120.658758,CA,2181492,2181492,Basketball
California Polytechnic State University-San Luis Obispo,35.3011339,-120.658758,CA,4546931,4546931,Football
California State University-Fresno,36.8108284,-119.7462226,CA,3642878,3642878,Basketball
California State University-Fresno,36.8108284,-119.7462226,CA,16419529,16419529,Football
California State University-Long Beach,33.7826983,-118.1223045,CA,2412791,2412791,Basketball
California State University-Sacramento,38.5642453,-121.4252955,CA,1667359,1667359,Basketball
California State University-Sacramento,38.5642453,-121.4252955,CA,5515779,5515779,Football
California University of Pennsylvania,40.0632191,-79.8842393,PA,413474,413474,Basketball
California University of Pennsylvania,40.0632191,-79.8842393,PA,1431566,1431566,Football
Campbell University,35.4091517,-78.7382773,NC,2085183,2085182,Basketball
Campbell University,35.4091517,-78.7382773,NC,5355777,5355780,Football
Canisius College,42.9272065,-78.8528401,NY,1639094,1639094,Basketball
Carson-Newman University,36.1223377,-83.4908561,TN,708149,597952,Basketball
Carson-Newman University,36.1223377,-83.4908561,TN,2059462,1853611,Football
Central Michigan University,43.5911786,-84.7753308,MI,2168814,2168814,Basketball
Central Michigan University,43.5911786,-84.7753308,MI,8175068,8175068,Football
Citadel Military College of South Carolina,32.7975896,-79.9589578,SC,1613769,1477703,Basketball
Citadel Military College of South Carolina,32.7975896,-79.9589578,SC,5728787,4903580,Football
Clemson University,34.679339,-82.835136,SC,9224524,8229736,Basketball
Clemson University,34.679339,-82.835136,SC,61378516,55649888,Football
Coastal Carolina University,33.795026,-79.011802,SC,2243214,2243214,Basketball
Coastal Carolina University,33.795026,-79.011802,SC,9227648,9227648,Football
College of Charleston,32.7834631,-79.9372833,SC,3289426,3289426,Basketball
College of the Holy Cross,42.2392391,-71.8079608,MA,2282921,2282921,Basketball
College of the Holy Cross,42.2392391,-71.8079608,MA,5605872,5605872,Football
College of William and Mary,37.271949,-76.709328,VA,3970949,3970949,Basketball
College of William and Mary,37.271949,-76.709328,VA,7073588,7073588,Football
Colorado State University-Fort Collins,40.5757036,-105.0941044,CO,4415218,4415218,Basketball
Colorado State University-Fort Collins,40.5757036,-105.0941044,CO,24782902,24782902,Football
Colorado State University-Pueblo,38.3060152,-104.579911,CO,447132,447132,Basketball
Colorado State University-Pueblo,38.3060152,-104.579911,CO,2025577,2025577,Football
Concordia College at Moorhead,46.8648964,-96.770366,MN,139633,139633,Basketball
Concordia College at Moorhead,46.8648964,-96.770366,MN,503296,503296,Football
Cornell College,41.9245718,-91.4237652,IA,144366,144366,Basketball
Cornell College,41.9245718,-91.4237652,IA,350718,350718,Football
Creighton University,41.2655878,-95.9486026,NE,8590055,8590055,Basketball
Davidson College,35.499519,-80.847593,NC,3476469,3297453,Basketball
Davidson College,35.499519,-80.847593,NC,1803457,1746425,Football
DePaul University,41.8781342,-87.6271172,IL,6793520,6793520,Basketball
Duke University,36.0014258,-78.9382286,NC,35489891,22178473,Basketball
Duke University,36.0014258,-78.9382286,NC,40328603,28806459,Football
East Carolina University,35.6066409,-77.3559964,NC,3945332,3942406,Basketball
East Carolina University,35.6066409,-77.3559964,NC,14136043,14094264,Football
East Central University,34.7728483,-96.6598029,OK,371852,356405,Basketball
East Central University,34.7728483,-96.6598029,OK,1025735,980162,Football
Eastern Illinois University,39.4780297,-88.1759056,IL,1146676,1146676,Basketball
Eastern Illinois University,39.4780297,-88.1759056,IL,2971448,2971448,Football
Eastern Kentucky University,37.7382655,-84.2983539,KY,1576265,1576265,Basketball
Eastern Kentucky University,37.7382655,-84.2983539,KY,4163865,4163865,Football
Eastern Michigan University,42.2466866,-83.6225079,MI,2170870,2170870,Basketball
Eastern Michigan University,42.2466866,-83.6225079,MI,8770408,8770408,Football
Eastern Washington University,47.4901128,-117.5797878,WA,1630809,1630808,Basketball
Eastern Washington University,47.4901128,-117.5797878,WA,6739277,6739278,Football
Elon University,36.1048942,-79.5045112,NC,3221829,3221829,Basketball
Elon University,36.1048942,-79.5045112,NC,6043145,6043145,Football
Ferris State University,43.6844327,-85.4820277,MI,853565,654990,Basketball
Ferris State University,43.6844327,-85.4820277,MI,2323872,2114843,Football
